"CoNH36_5mM_HPF"
"Wavelength nm."	"Abs."
696.00	0.003
697.00	0.003
698.00	0.003
699.00	0.003
700.00	0.003
701.00	0.003
702.00	0.003
703.00	0.003
704.00	0.003
705.00	0.003
706.00	0.003
707.00	0.003
708.00	0.003
709.00	0.003
710.00	0.003
711.00	0.003
712.00	0.003
713.00	0.003
714.00	0.003
715.00	0.003
716.00	0.003
717.00	0.003
718.00	0.003
719.00	0.003
720.00	0.003
721.00	0.003
722.00	0.003
723.00	0.003
724.00	0.003
725.00	0.003
726.00	0.003
727.00	0.003
728.00	0.003
729.00	0.003
730.00	0.003
731.00	0.003
732.00	0.003
733.00	0.003
734.00	0.003
735.00	0.003
736.00	0.003
737.00	0.003
738.00	0.003
739.00	0.003
740.00	0.003
741.00	0.003
742.00	0.003
743.00	0.003
744.00	0.003
745.00	0.003
746.00	0.003
747.00	0.003
748.00	0.003
749.00	0.003
750.00	0.003
751.00	0.003
752.00	0.003
753.00	0.003
754.00	0.003
755.00	0.003
756.00	0.003
757.00	0.003
758.00	0.003
759.00	0.003
760.00	0.003
761.00	0.003
762.00	0.003
763.00	0.003
764.00	0.003
765.00	0.003
766.00	0.003
767.00	0.003
768.00	0.003
769.00	0.003
770.00	0.003
771.00	0.003
772.00	0.003
773.00	0.003
774.00	0.003
775.00	0.003
776.00	0.003
777.00	0.003
778.00	0.003
779.00	0.003
780.00	0.003
781.00	0.003
782.00	0.003
783.00	0.003
784.00	0.003
785.00	0.003
786.00	0.003
787.00	0.003
788.00	0.003
789.00	0.003
790.00	0.003
791.00	0.003
792.00	0.003
793.00	0.003
794.00	0.003
795.00	0.003
796.00	0.003
797.00	0.003
798.00	0.003
799.00	0.003
800.00	0.002
