"CoNH36_10mM_HPF"
"Wavelength nm."	"Abs."
440.00	0.348
441.00	0.358
442.00	0.369
443.00	0.379
444.00	0.389
445.00	0.400
446.00	0.411
447.00	0.421
448.00	0.432
449.00	0.442
450.00	0.452
451.00	0.462
452.00	0.472
453.00	0.481
454.00	0.491
455.00	0.500
456.00	0.508
457.00	0.516
458.00	0.524
459.00	0.532
460.00	0.539
461.00	0.546
462.00	0.553
463.00	0.559
464.00	0.565
465.00	0.570
466.00	0.575
467.00	0.580
468.00	0.584
469.00	0.587
470.00	0.590
471.00	0.593
472.00	0.594
473.00	0.596
474.00	0.596
475.00	0.596
476.00	0.596
477.00	0.595
478.00	0.593
479.00	0.590
480.00	0.587
481.00	0.584
482.00	0.580
483.00	0.576
484.00	0.571
485.00	0.565
486.00	0.560
487.00	0.553
488.00	0.547
489.00	0.540
490.00	0.532
491.00	0.524
492.00	0.515
493.00	0.506
494.00	0.497
495.00	0.487
496.00	0.477
497.00	0.466
498.00	0.455
499.00	0.444
500.00	0.433
501.00	0.422
502.00	0.411
503.00	0.400
504.00	0.389
505.00	0.378
506.00	0.367
507.00	0.356
508.00	0.344
509.00	0.334
510.00	0.323
511.00	0.312
512.00	0.302
513.00	0.291
514.00	0.280
515.00	0.270
516.00	0.259
517.00	0.248
518.00	0.238
519.00	0.228
520.00	0.218
521.00	0.208
522.00	0.199
523.00	0.190
524.00	0.181
525.00	0.172
526.00	0.164
527.00	0.156
528.00	0.148
529.00	0.141
530.00	0.134
531.00	0.127
532.00	0.121
533.00	0.114
534.00	0.109
535.00	0.103
536.00	0.098
537.00	0.092
538.00	0.088
539.00	0.083
540.00	0.078
541.00	0.074
542.00	0.070
543.00	0.066
544.00	0.062
545.00	0.059
546.00	0.055
547.00	0.052
548.00	0.049
549.00	0.046
550.00	0.044
551.00	0.041
552.00	0.039
553.00	0.037
554.00	0.035
555.00	0.033
556.00	0.031
557.00	0.030
558.00	0.029
559.00	0.027
560.00	0.026
561.00	0.025
562.00	0.024
563.00	0.022
564.00	0.021
565.00	0.020
566.00	0.020
567.00	0.019
568.00	0.018
569.00	0.017
570.00	0.016
571.00	0.016
572.00	0.015
573.00	0.015
574.00	0.014
575.00	0.014
576.00	0.013
577.00	0.013
578.00	0.013
579.00	0.012
580.00	0.012
581.00	0.012
582.00	0.012
583.00	0.011
584.00	0.011
585.00	0.010
586.00	0.010
587.00	0.010
588.00	0.010
589.00	0.010
590.00	0.009
591.00	0.009
592.00	0.009
593.00	0.009
594.00	0.009
595.00	0.008
596.00	0.008
597.00	0.008
598.00	0.008
599.00	0.008
600.00	0.008
601.00	0.008
602.00	0.008
603.00	0.008
604.00	0.008
605.00	0.007
606.00	0.007
607.00	0.007
608.00	0.007
609.00	0.007
610.00	0.007
611.00	0.007
612.00	0.007
613.00	0.006
614.00	0.007
615.00	0.007
616.00	0.006
617.00	0.006
618.00	0.006
619.00	0.006
620.00	0.006
621.00	0.006
622.00	0.006
623.00	0.005
624.00	0.005
625.00	0.006
626.00	0.006
627.00	0.006
628.00	0.005
629.00	0.005
630.00	0.005
631.00	0.005
632.00	0.005
633.00	0.005
634.00	0.005
635.00	0.005
636.00	0.005
637.00	0.005
638.00	0.005
639.00	0.005
640.00	0.005
641.00	0.004
642.00	0.004
643.00	0.004
644.00	0.005
645.00	0.005
646.00	0.005
647.00	0.004
648.00	0.004
649.00	0.004
650.00	0.004
651.00	0.004
652.00	0.004
653.00	0.004
654.00	0.004
655.00	0.004
656.00	0.004
657.00	0.004
658.00	0.004
659.00	0.004
660.00	0.004
661.00	0.004
662.00	0.004
663.00	0.004
664.00	0.004
665.00	0.004
666.00	0.004
667.00	0.004
668.00	0.004
669.00	0.004
670.00	0.004
671.00	0.004
672.00	0.004
673.00	0.004
674.00	0.003
675.00	0.003
676.00	0.003
677.00	0.004
678.00	0.004
679.00	0.004
680.00	0.004
681.00	0.004
682.00	0.003
683.00	0.003
684.00	0.003
685.00	0.004
686.00	0.004
687.00	0.004
688.00	0.003
689.00	0.003
690.00	0.003
691.00	0.003
692.00	0.004
693.00	0.004
694.00	0.004
695.00	0.003
696.00	0.003
697.00	0.003
698.00	0.003
699.00	0.004
700.00	0.004
701.00	0.004
702.00	0.004
703.00	0.003
704.00	0.003
705.00	0.003
706.00	0.003
707.00	0.004
708.00	0.004
709.00	0.004
710.00	0.004
711.00	0.003
712.00	0.003
713.00	0.003
714.00	0.003
715.00	0.004
716.00	0.004
717.00	0.004
718.00	0.004
719.00	0.003
720.00	0.003
721.00	0.003
722.00	0.004
723.00	0.004
724.00	0.004
725.00	0.004
726.00	0.004
727.00	0.003
728.00	0.003
729.00	0.003
730.00	0.004
731.00	0.004
732.00	0.004
733.00	0.004
734.00	0.004
735.00	0.004
736.00	0.003
737.00	0.003
738.00	0.004
739.00	0.004
740.00	0.004
741.00	0.004
742.00	0.004
743.00	0.004
744.00	0.003
745.00	0.003
746.00	0.004
747.00	0.004
748.00	0.004
749.00	0.004
750.00	0.004
751.00	0.004
752.00	0.004
753.00	0.003
754.00	0.003
755.00	0.004
756.00	0.004
757.00	0.004
758.00	0.004
759.00	0.004
760.00	0.004
761.00	0.004
762.00	0.003
763.00	0.003
764.00	0.004
765.00	0.004
766.00	0.004
767.00	0.004
768.00	0.004
769.00	0.004
770.00	0.003
771.00	0.003
772.00	0.003
773.00	0.004
774.00	0.004
775.00	0.004
776.00	0.004
777.00	0.004
778.00	0.004
779.00	0.004
780.00	0.003
781.00	0.003
782.00	0.003
783.00	0.004
784.00	0.004
785.00	0.004
786.00	0.004
787.00	0.004
788.00	0.004
789.00	0.003
790.00	0.003
791.00	0.003
792.00	0.004
793.00	0.004
794.00	0.004
795.00	0.004
796.00	0.004
797.00	0.004
798.00	0.003
799.00	0.003
800.00	0.003
