"CoNH36_3mM_HPF"
"Wavelength nm."	"Abs."
727.00	0.001
728.00	0.001
729.00	0.001
730.00	0.001
731.00	0.001
732.00	0.001
733.00	0.001
734.00	0.001
735.00	0.001
736.00	0.001
737.00	0.001
738.00	0.001
739.00	0.001
740.00	0.001
741.00	0.001
742.00	0.001
743.00	0.001
744.00	0.001
745.00	0.001
746.00	0.001
747.00	0.001
748.00	0.001
749.00	0.001
750.00	0.001
751.00	0.001
752.00	0.001
753.00	0.001
754.00	0.001
755.00	0.001
756.00	0.001
757.00	0.001
758.00	0.001
759.00	0.001
760.00	0.001
761.00	0.001
762.00	0.001
763.00	0.001
764.00	0.001
765.00	0.001
766.00	0.001
767.00	0.001
768.00	0.001
769.00	0.001
770.00	0.001
771.00	0.001
772.00	0.001
773.00	0.001
774.00	0.001
775.00	0.001
776.00	0.001
777.00	0.001
778.00	0.001
779.00	0.001
780.00	0.001
781.00	0.001
782.00	0.001
783.00	0.001
784.00	0.001
785.00	0.001
786.00	0.001
787.00	0.001
788.00	0.001
789.00	0.001
790.00	0.001
791.00	0.001
792.00	0.001
793.00	0.001
794.00	0.001
795.00	0.001
796.00	0.001
797.00	0.001
798.00	0.001
799.00	0.001
800.00	0.001
